FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.380175518,0.669158816,0.600326240,0.724802792
0.380963096,0.669554174,0.600326240,0.725806475
0.381750675,0.669554174,0.600326240,0.725806475
0.382538254,0.669978261,0.600858390,0.725888312
0.383325833,0.670332968,0.600858390,0.725888312
0.384113411,0.670753717,0.601716757,0.726180971
0.384900990,0.670753717,0.601716757,0.726180971
0.385688569,0.671175063,0.601716757,0.727430582
0.386476148,0.671560168,0.601716757,0.727586210
0.387263726,0.671560168,0.601716757,0.727586210
0.388051305,0.672035575,0.601716757,0.727713168
0.388838884,0.672377229,0.602773249,0.727735341
0.389626463,0.672377229,0.602773249,0.727735341
0.390414041,0.672757447,0.602773249,0.728179574
0.391201620,0.673132479,0.604291856,0.728179574
0.391989199,0.673550308,0.604291856,0.728448272
0.392776778,0.673550308,0.604291856,0.728448272
0.393564356,0.673945665,0.604291856,0.730200171
0.394351935,0.674283683,0.604404569,0.730200171
0.395139514,0.674283683,0.604404569,0.730200171
0.395927093,0.674681842,0.604404569,0.730964482
0.396714671,0.675039887,0.604690135,0.730964482
0.397502250,0.675039887,0.604690135,0.730964482
0.398289829,0.675414443,0.606035888,0.730964482
0.399077408,0.675804555,0.606060624,0.730984807
0.399864986,0.676170290,0.606712580,0.731605351
0.400652565,0.676170290,0.606712580,0.731605351
0.401440144,0.676606596,0.606712580,0.731896579
0.402227723,0.676992655,0.609298527,0.731896579
0.403015302,0.676992655,0.609298527,0.731896579
0.403802880,0.677373707,0.609442055,0.732065678
0.404590459,0.677793801,0.609442055,0.732069254
0.405378038,0.677793801,0.609442055,0.732069254
0.406165617,0.678186417,0.609693885,0.732113123
0.406953195,0.678558707,0.611876070,0.732113123
0.407740774,0.678908885,0.611876070,0.732428133
0.408528353,0.678908885,0.611876070,0.732428133
0.409315932,0.679308593,0.611876070,0.732718885
0.410103510,0.679632127,0.611876070,0.733777046
0.410891089,0.679632127,0.611876070,0.733777046
0.411678668,0.680018067,0.613733888,0.733777046
0.412466247,0.680386066,0.614740372,0.733777046
0.413253825,0.680386066,0.614740372,0.733777046
0.414041404,0.680774629,0.614740372,0.733777046
0.414828983,0.681136250,0.615646243,0.733777046
0.415616562,0.681544542,0.616496623,0.735058010
0.416404140,0.681544542,0.616496623,0.735058010
0.417191719,0.681899548,0.616721869,0.735058010
0.417979298,0.682282805,0.617252946,0.735344827
0.418766877,0.682282805,0.617252946,0.735344827
0.419554455,0.682696104,0.617252946,0.736797273
0.420342034,0.683099926,0.619205296,0.736797273
0.421129613,0.683099926,0.619205296,0.736797273
0.421917192,0.683485746,0.619582653,0.736797273
0.422704770,0.683899045,0.619582653,0.738284707
